Question,Option 1,Option 2,Option 3,Option 4,Option 5,Answer
Which attributes are extracted in the Histogram of Oriented Gradients (HOG) method?,Gradient direction,Gradient magnitude,Edge orientation,Pixel intensity,Color contrast,Gradient magnitude;Gradient direction;Edge orientation
What is the purpose of using a stride in convolutional layers?,To shift the convolution filter across the input,To reduce the number of neurons in the network,To increase the depth of the network,To control the receptive field size,To normalize the batch size,To shift the convolution filter across the input
Which of the following are optimizers used in neural networks?,RMSprop,ReLU,SGD,Adagrad,Adam,Adam;RMSprop;SGD;Adagrad
What method does the Selective Search algorithm use to propose regions?,Hierarchical grouping,Region growing,Feature pyramids,Edge detection,Pixel-based clustering,Hierarchical grouping
Which are activation functions commonly used in CNNs?,Sigmoid,ReLU,Dropout,Softmax,Tanh,ReLU;Sigmoid;Tanh;Softmax
What is the function of a softmax layer in CNNs?,To calculate the loss,To perform pooling,To apply dropout,To normalize the input data,To convert activations into probability distributions,To convert activations into probability distributions
"Dari pernyataan berikut, manakah yang merupakan alasan populernya deep learning?",meningkatnya akses ke daya komputasi (computational power),Neural network merupakan bidang ilmu yang baru,meningkatnya akses ke banyaknya data (big data),"Deep learning berhasil meningkatkan kinerja berbagai aplikasi penting, misalnya speech recognition, image recognition",,"Deep learning berhasil meningkatkan kinerja berbagai aplikasi penting, misalnya speech recognition, image recognition;meningkatnya akses ke daya komputasi (computational power);meningkatnya akses ke banyaknya data (big data)"
Apa yang sebenarnya dihitung oleh suatu neuron?,Neuron menghitung rerata dari semua fitur sebelum mengaplikasikan output ke fungsi aktivasi,Neuron menghitung fungsi linier (z=Wx+b) diikuti fungsi aktivasi,Neuron menghitung fungsi g yang menskalakan input x secara linier (Wx+b),Neuron menghitung fungsi aktivasi diikuti fungsi linier (z = Wx + b),,Neuron menghitung fungsi linier (z=Wx+b) diikuti fungsi aktivasi
How does a fully connected layer differ from a convolutional layer?,It only processes local information,It applies a kernel filter,It connects every neuron in one layer to every neuron in the next layer,It reduces spatial dimensions,It uses pooling operations,It connects every neuron in one layer to every neuron in the next layer
Which technique can help speed up the training of a CNN?,Stride pooling,Reducing the number of filters,Batch normalization,Increasing the learning rate,Dropout,Batch normalization
What are the key stages in the SIFT algorithm?,Scale-space extrema detection,Keypoint descriptor computation,Keypoint localization,Orientation assignment,Non-maximum suppression,Scale-space extrema detection;Keypoint localization;Keypoint descriptor computation;Orientation assignment
Which types of loss functions are used in CNNs?,Mean squared error,Crossentropy loss,Hinge loss,Softmax loss,Smooth L1 loss,Crossentropy loss;Mean squared error;Smooth L1 loss
What does stride control in a convolution operation?,The amount of overlap between regions,The number of filters applied,The size of the pooling window,The output size,The step size of the filter,The step size of the filter
What makes keypoint descriptors in SIFT robust to image transformations?,Scale invariance,Translation invariance,Rotation invariance,Texture invariance,Contrast invariance,Scale invariance;Rotation invariance;Translation invariance
What happens to the feature maps in max pooling?,The input dimensions remain the same,Only the largest value from each region is kept,The smallest values are retained,The average value is computed,The filter size is increased,Only the largest value from each region is kept
What is the biological analogy often made for neurons in a neural network?,Axon terminals,Synaptic clefts,Firing neurons,Dendritic inputs,Input nodes,Firing neurons
Which factors can affect the number of parameters in a convolutional layer?,Stride,Number of filters,Filter size,Input volume size,Pooling type,Number of filters
Which activation function is most commonly used today due to its simplicity and effectiveness?,Softmax,ReLU,Sigmoid,Tanh,ELU,ReLU
"Bobot w pada Logistic Regression sebaiknya diinisialisasi dengan bilangan acak dibanding diinisialisasi dengan nol. Karena jika Anda menginisiasi dengan nol, maka logistic regression akan gagal mempelajari decision boundary karena akan gagal melakukan break symmetry'.",True,False,,,,False
"Perhatikan kode berikut:
A = np.random.randn(4, 3)
B = np.sum(A, axis = 1, keepdims = True)
Berapakah nilai B.shape?","(1, 3)","(, 3)","(4,)","(4, 1)",,"(4, 1)"
How does dropout help prevent overfitting in CNNs?,By applying gradient clipping,By increasing the depth of the network,By applying batch normalization,By randomly dropping neurons during training,By reducing the input dimensions,By randomly dropping neurons during training
Which similarity measure in Selective Search helps merge regions with similar colors?,Gradient similarity,Color similarity,Size similarity,Texture similarity,Shape similarity,Color similarity
What are some key characteristics of VGG architecture?,RoI Pooling,Small filters (3x3),Multiple pooling layers,Anchorbased prediction,Deep layers (19),Deep layers (19);Small filters (3x3);Multiple pooling layers
"In the Histogram of Oriented Gradients (HOG), what does a ""bin"" represent?",A fixed number of pixels,A single keypoint,A region of uniform intensity,A set of keypoints,A range of gradient orientations,A range of gradient orientations
Which technique is primarily used to combat overfitting in CNNs?,Stride adjustment,Zero padding,Pooling,Dropout,Batch normalization,Dropout
Which technique can be used to address the vanishing gradient problem?,Max pooling,Batch normalization,ReLU activation,Gradient clipping,Dropout,Batch normalization
"What does the term ""universal approximator"" mean in the context of neural networks?",Neural networks are always accurate,Neural networks can classify any type of data,Neural networks use linear activation functions,Neural networks can approximate any continuous function,Neural networks always output probabilities,Neural networks can approximate any continuous function
What is backpropagation used for in neural networks?,To apply nonlinearity,To compute the final output,To propagate errors backward and update weights,To initialize weights,To reduce overfitting,To propagate errors backward and update weights
"Ketika engineer deep learning yang berpengalaman bekerja pada suatu problem baru, mereka biasanya menggunakan pengetahuan dari problem yang sebelumnya untuk melatih model yang baik, tanpa memerlukan iterasi berkali-kali melalui model yang berbeda. True/False?",True,False,,,,False
What factors can affect the number of parameters in a convolutional layer?,Pooling window size,Number of filters,Stride,Size of filters,Input feature map dimensions,Number of filters;Size of filters;Input feature map dimensions
What elements contribute to the total number of parameters in CNNs?,Bias terms,Stride,Number of filters,Kernel size,Pooling layers,Bias terms;Number of filters;Kernel size
What are common uses for gradient vectors in image processing?,Object detection,Feature extraction,Image segmentation,Edge detection,Smoothing,Edge detection;Feature extraction;Image segmentation;Object detection
What is the primary purpose of using filters in CNNs?,To detect specific patterns like edges,To reduce feature map size,To pool over regions,To increase depth of the model,To avoid overfitting,To detect specific patterns like edges
"Diketahui suatu citra (img) dalam array (32, 32, 3), yang merepresentasikan citra berukuran 32x32 dengan 3 kanal warna R, G, B. Bagaimana melakukan reshape array ini ke dalam vektor kolom?","x = img.reshape((3,32*32))","x = img.reshape((32*32,3))","x = img.reshape((1,32*32*3))","x = img.reshape((32*32*3,1))",,"x = img.reshape((32*32*3,1))"
Which of the following filters is commonly used in edge detection techniques like the Sobel operator?,Gaussian filter,High-pass filter,Median filter,Box filter,Laplacian filter,Gaussian filter
What are the components of a CNN architecture?,Convolutional layers,Gradient clipping,Pooling layers,ReLU activation,Fully connected layers,Convolutional layers;Pooling layers;ReLU activation;Fully connected layers
Which of the following operations are performed during SURF feature extraction?,Keypoint detection,Orientation assignment,Convolution with Gaussian filters,Keypoint matching,Descriptor calculation using Haar wavelets,Keypoint detection;Orientation assignment;Descriptor calculation using Haar wavelets;Keypoint matching
What are common uses for SIFT and SURF in computer vision?,Object detection,Image matching,3D reconstruction,Image stitching,Depth estimation,Object detection;Image matching;Image stitching;3D reconstruction
What improvements does ResNet introduce over previous models?,Deeper architecture,Segmentation capabilities,Faster inference time,Better handling of vanishing gradients,Residual blocks,Residual blocks;Deeper architecture;Better handling of vanishing gradients
What are the key attributes of SIFT features that make them useful in object recognition?,Scale invariance,Rotation invariance,Robustness to noise,Real-time processing,Color invariance,Scale invariance;Rotation invariance;Robustness to noise
What does SIFT stand for in the context of feature extraction?,Spatial Invariant Feature Transformation,Scale Invariant Feature Tracking,Scale Invariant Feature Transformation,Scale Invariant Feature Template,Scale Independent Feature Template,Scale Invariant Feature Transformation
"Diketahui bahwa np.dot(a,b) melakukan perkalian matriks pada a dan b, sedangkan a*b melakukan perkalian secara element-wise. Perhatikan 2 (dua) array bebas berikut 'a' dan 'b':
a = np.random.randn(12288, 150) # a.shape = (12288, 150)
b = np.random.randn(150, 45) # b.shape = (150, 45)
c = np.dot(a, b). Bagaimanakah dimensi (shape) dari 'c'?",Komputasi tidak dapat terjadi karena ukuran array tidak cocok. Error!,"c.shape = (12288, 150)","c.shape = (12288, 45)","c.shape = (150, 150)",,"c.shape = (12288, 45)"
What makes HOG suitable for object detection?,Robustness to changes in lighting,Ability to represent complex shapes,Reduction of computational complexity,Focus on edge direction,Robustness to rotation,Robustness to changes in lighting;Focus on edge direction;Ability to represent complex shapes
"In the SURF algorithm, which feature makes it faster than SIFT?",Use of integral images,Scale-space representation,Keypoint detection,Gradient orientation,Edge detection,Use of integral images
"In the context of image feature extraction, what is the goal of the 'orientation assignment' step in SIFT?",To classify objects in an image,To determine the color of the object,To detect edges in the image,To make the feature descriptor rotation-invariant,To compute pixel intensity gradients,To make the feature descriptor rotation-invariant
What are the typical steps involved in training a CNN?,Feature extraction,Gradient descent,Weight updates,Backpropagation,Forward propagation,Forward propagation;Backpropagation;Gradient descent;Weight updates
Pernyataan manakah yang benar?,Semakin awal layer pada neural network umumnya menghitung fitur input yang lebih kompleks dibandingkan layer-layer terdalam,Semakin dalam layer pada neural network umumnya menghitung fitur input yang lebih kompleks dibandingkan layer-layer awal,,,,Semakin dalam layer pada neural network umumnya menghitung fitur input yang lebih kompleks dibandingkan layer-layer awal
What advantages does SURF have over SIFT?,Less computationally expensive,More robust to rotation,Faster processing,Lower memory usage,Better for real-time applications,Faster processing;Less computationally expensive;Better for real-time applications
What is the main purpose of using the Sobel operator in image processing?,Image segmentation,Gradient detection,Edge detection,Image smoothing,Pixel clustering,Edge detection
What problem does the sigmoid activation function often cause?,Too much nonlinearity,Exploding gradients,Vanishing gradients,Reduces model complexity,Lack of bias in neurons,Vanishing gradients
"What does the term ""keypoint"" refer to in feature extraction?",A region with high color contrast,A pixel with low intensity variance,A corner in the image,A pixel that has a strong and stable feature descriptor,A location in the image with a large gradient magnitude,A pixel that has a strong and stable feature descriptor
What are the primary functions of the backpropagation algorithm in CNNs?,To pool feature maps,To adjust the weights of the network,To predict output probabilities,To compute gradients,To update biases,To compute gradients;To adjust the weights of the network;To update biases
What size is typically used for cells in HOG feature extraction?,4x4 pixels,64x64 pixels,8x8 pixels,16x16 pixels,32x32 pixels,8x8 pixels
Which of the following is the primary feature extraction method used in HOG?,Edge orientation histograms,Fourier transforms,Color histograms,Pixel intensity histograms,Region segmentation,Edge orientation histograms
Which operators are used to compute image gradients?,Fourier transform,Sobel operator,Canny edge detector,Prewitt operator,Laplacian operator,Sobel operator;Laplacian operator;Prewitt operator
What are some limitations of SIFT for real-time object detection?,Limited robustness to noise,Requires a large memory footprint,Not suitable for small objects,High computational cost,Slow feature matching,High computational cost;Requires a large memory footprint;Slow feature matching
How does pooling reduce the computational complexity of CNNs?,By increasing the number of filters,By introducing nonlinearity,By normalizing the input data,By removing unnecessary neurons,By downsampling the feature map,By downsampling the feature map
In which part of the CNN architecture is dropout typically applied?,Before ReLU activation layers,Before pooling layers,After batch normalization layers,Between fully connected layers,After convolution layers,Between fully connected layers
What makes SIFT and SURF keypoint descriptors unique?,They store local image gradients,They are invariant to scale,They are computed using wavelet transforms,They are rotation invariant,They use color histograms,They are invariant to scale;They store local image gradients;They are rotation invariant
What is the primary role of backpropagation in a CNN?,To convolve input feature maps,To compute gradients and update weights,To prevent overfitting,To downsample feature maps,To apply nonlinear transformations,To compute gradients and update weights
Masukan untuk classifier adalah,kalimat,semua data yang dapat direpresentasikan pada komputer,gambar,suara,,semua data yang dapat direpresentasikan pada komputer
Which of the following is a key difference between SIFT and SURF?,SIFT is more robust to noise,SURF uses integral images for speed,SIFT is faster than SURF,SURF uses color information for feature extraction,SURF does not detect keypoints,SURF uses integral images for speed
Which operations are typically performed by the Sobel operator in edge detection?,Keypoint matching,Gradient computation,Region proposal generation,Convolution with a kernel,Descriptor calculation,Convolution with a kernel;Gradient computation
What kind of algorithm is used in Felzenszwalb's image segmentation?,Gradient-based algorithm,Edge-detection algorithm,Convolutional algorithm,Region-based algorithm,Graph-based algorithm,Graph-based algorithm
What properties of an image are captured by the Histogram of Oriented Gradients (HOG)?,Keypoint locations,Gradient magnitudes,Color histograms,Object orientation,Edge directions,Edge directions;Gradient magnitudes
"When experienced deep learning engineers work on a new problem, they usually use knowledge from previous problems to train a good model, without needing to iterate through multiple different models. True/False?",True,False,,,,False
"Perhatikan 2 (dua) array bebas berikut ""a"" dan ""b"": a = np.random.randn(4, 3) # a.shape = (4, 3) b = np.random.randn(3, 2) # b.shape = (3, 2) c = a + b Bagaimanakah dimensi (shape) dari ""c""?",Komputasi tidak dapat terjadi karena ukuran array tidak cocok. Error!,"c.shape = (4, 3)","c.shape = (4, 2)","c.shape = (3, 3)",,Komputasi tidak dapat terjadi karena ukuran array tidak cocok. Error!
"Aktivasi tanh umumnya bekerja lebih baik dibanding fungsi sigmoid untuk hidden unit, karena rata-rata dari output-nya mendekati nol, sehingga terjadi pemusatan data yang lebih baik untuk layer berikutnya. True/False?",True,False,,,,True
Which factors impact the output dimensions of a convolutional layer?,Padding,Stride,Number of filters,Pooling window,Filter size,Filter size;Stride;Padding
"Pada pembelajaran mesin (machine learning), masukan berupa ‘Jawaban (answer)' dan ‘Data'. Keluaran berupa...",aturan (rule),biner,bugs,model,,aturan (rule)
What are the benefits of using stochastic gradient descent (SGD)?,Faster convergence,Applies nonlinearity,More stable updates,Requires less memory,Avoids local minima,Faster convergence;Requires less memory
Which factors are crucial when evaluating keypoints in SIFT?,Spatial location,Scale,Orientation,Color,Descriptor length,Orientation;Scale;Spatial location;Descriptor length
What is the key feature of stochastic gradient descent (SGD)?,It eliminates the need for activation functions,It does not involve backpropagation,It uses a random sample of data to update weights,It uses the entire dataset to update weights,It increases the model complexity,It uses a random sample of data to update weights
"Perhatikan 2 (dua) array bebas berikut ""a"" dan ""b"":
a = np.random.randn(2, 3) # a.shape = (2, 3)
b = np.random.randn(2, 1) # b.shape = (2, 1)
c = a + b
Bagaimanakah dimensi (shape) dari ""c""?",Komputasi tidak dapat terjadi karena ukuran array tidak cocok. Error!,"c.shape = (2, 1)","c.shape = (3, 2)","c.shape = (2, 3)",,"c.shape = (2, 3)"
Which of the following padding techniques ensures that the output size is the same as the input size?,Valid padding,Full padding,Reflective padding,Zero padding,Same padding,Same padding
What is the effect of applying a large stride in convolutional layers?,It increases the input size,It reduces the spatial dimensions quickly,It enhances gradient descent,It increases the depth of the network,It increases the number of filters,It reduces the spatial dimensions quickly
